junction,zone,hour,event_frequency,avg_duration,vehicle_types,truck_count,road_closure_count,latitude,longitude,peak_hour,event_frequency_scaled,avg_duration_scaled,peak_hour_scaled,risk_score,risk_level,recommendation,reason
GokuldasImagesJunc,West Zone 1,19.0,3,142.18658296666666,2,0,0,13.030693399999999,77.53659253333333,1,0.3333333333333333,0.0029355828667076505,1.0,35.07338957166769,Low,Normal patrol,Recorded obstruction history; Peak-hour impact; Long obstruction duration
JP Nagar 9th cross-24th main jn,South Zone 1,21.0,3,140.53445530555555,1,0,1,12.911993366666666,77.5857905,1,0.3333333333333333,0.0029014730544146823,1.0,35.07253682636037,Low,Normal patrol,Recorded obstruction history; Peak-hour impact; Long obstruction duration; Road closure history
TownhallJunction,Central Zone 2,19.0,3,137.16167744444445,2,1,0,12.963644433333334,77.58413156666667,1,0.3333333333333333,0.0028318387141294966,1.0,35.070795967853236,Low,Normal patrol,Recorded obstruction history; Peak-hour impact; Long obstruction duration; Heavy-vehicle involvement
KIMCO Junction,West Zone 2,20.0,3,136.6710290611111,2,0,0,12.9521715,77.53895146666666,1,0.3333333333333333,0.0028217087921801887,1.0,35.0705427198045,Low,Normal patrol,Recorded obstruction history; Peak-hour impact; Long obstruction duration
toll gate mysore road,Central Zone 2,19.0,3,133.7763729111111,2,1,0,12.957558933333333,77.55182893333334,1,0.3333333333333333,0.002761945748286363,1.0,35.069048643707156,Low,Normal patrol,Recorded obstruction history; Peak-hour impact; Long obstruction duration; Heavy-vehicle involvement
RajeshwariJunc,West Zone 1,19.0,3,130.54206639444445,2,1,1,12.937040666666666,77.51967836666667,1,0.3333333333333333,0.0026951702860879825,1.0,35.0673792571522,Low,Normal patrol,Recorded obstruction history; Peak-hour impact; Long obstruction duration; Heavy-vehicle involvement; Road closure history
SilkBoardJunc,South Zone 2,21.0,3,129.79059375555553,2,0,0,12.916467333333335,77.62295033333334,1,0.3333333333333333,0.0026796553889894353,1.0,35.06699138472473,Low,Normal patrol,Recorded obstruction history; Peak-hour impact; Long obstruction duration
Bommanahalli,South Zone 2,21.0,3,124.78118332222222,3,0,0,12.907146566666666,77.62764593333334,1,0.3333333333333333,0.0025762311478720627,1.0,35.0644057786968,Low,Normal patrol,Recorded obstruction history; Peak-hour impact; Long obstruction duration
toll gate mysore road,Central Zone 2,20.0,3,119.66078178888888,1,0,0,12.957545033333332,77.55206996666668,1,0.3333333333333333,0.0024705153855385607,1.0,35.06176288463846,Low,Normal patrol,Recorded obstruction history; Peak-hour impact
KhodaysCircle(DV UrsCircle),Central Zone 2,20.0,3,117.21469773888889,3,0,0,12.980112466666668,77.57157516666666,1,0.3333333333333333,0.002420013557040507,1.0,35.06050033892601,Low,Normal patrol,Recorded obstruction history; Peak-hour impact
GoruguntepalyaJunc,West Zone 1,19.0,3,112.72259528333335,3,0,0,13.030287800000002,77.54109266666667,1,0.3333333333333333,0.002327269651610867,1.0,35.05818174129027,Low,Normal patrol,Recorded obstruction history; Peak-hour impact
CommandoHospitalJunc,Central Zone 1,19.0,3,95.55591992222223,1,0,0,12.966442866666666,77.62436553333333,1,0.3333333333333333,0.0019728466321039966,1.0,35.049321165802596,Low,Normal patrol,Recorded obstruction history; Peak-hour impact
MekhriCircle,West Zone 2,19.0,3,94.82786905,1,0,0,13.010661666666666,77.58367436666667,1,0.3333333333333333,0.0019578153005817517,1.0,35.04894538251454,Low,Normal patrol,Recorded obstruction history; Peak-hour impact
SatteliteBusStandJunc,West Zone 2,21.0,3,38.41920043333334,2,0,0,12.954074433333332,77.54382223333333,1,0.3333333333333333,0.0007932024540679803,1.0,35.0198300613517,Low,Normal patrol,Recorded obstruction history; Peak-hour impact
BigBazaarJunction(OldMadrasRd),Central Zone 1,4.0,4,162.45953080416666,1,0,0,12.99186185,77.658522025,0,0.5,0.0033541379588106425,0.0,30.083853448970267,Low,Normal patrol,Recorded obstruction history; Long obstruction duration
BigBazaarJunction(OldMadrasRd),Central Zone 1,5.0,4,159.99549142083333,2,0,0,12.991512625,77.6581177,0,0.5,0.003303265424667938,0.0,30.082581635616695,Low,Normal patrol,Recorded obstruction history; Long obstruction duration
BagalurCrossJunc,North Zone 2,4.0,4,151.40381713333335,2,0,0,13.119395625,77.60943115,0,0.5,0.0031258817974052283,0.0,30.07814704493513,Low,Normal patrol,Recorded obstruction history; Long obstruction duration
MekhriCircle,West Zone 2,1.0,4,123.98343445416667,4,1,0,13.014944325,77.5836965375,0,0.5,0.0025597608321774497,0.0,30.063994020804437,Low,Normal patrol,Recorded obstruction history; Long obstruction duration; Heavy-vehicle involvement
MekhriCircle,North Zone 2,23.0,4,121.71447002083333,3,0,0,13.016557075,77.584098325,0,0.5,0.0025129158136342877,0.0,30.062822895340858,Low,Normal patrol,Recorded obstruction history; Long obstruction duration
RajeshwariJunc,West Zone 1,6.0,4,121.34279455416666,2,0,1,12.9355859625,77.51826675999999,0,0.5,0.0025052422054136158,0.0,30.06263105513534,Low,Normal patrol,Recorded obstruction history; Long obstruction duration; Road closure history
MekhriCircle,West Zone 2,4.0,4,118.96648229166668,3,1,0,13.01453065,77.58342915,0,0.5,0.0024561808845899934,0.0,30.06140452211475,Low,Normal patrol,Recorded obstruction history; Heavy-vehicle involvement
KarnatakaBhavanJunction,Central Zone 2,1.0,4,106.99421662083334,2,0,0,12.98205045,77.56483610000001,0,0.5,0.0022090015991351212,0.0,30.055225039978378,Low,Normal patrol,Recorded obstruction history
PoliceCornerJunc,Central Zone 2,3.0,4,104.69233585,3,0,0,12.968297025,77.58698907499999,0,0.5,0.0021614769901947242,0.0,30.054036924754868,Low,Normal patrol,Recorded obstruction history
YeshwanthpuraCircle,West Zone 2,5.0,4,102.21082423333334,2,0,0,13.01758115,77.55701582500001,0,0.5,0.0021102437244854668,0.0,30.052756093112137,Low,Normal patrol,Recorded obstruction history
BagalurCrossJunc,North Zone 2,3.0,4,66.67435172083333,2,0,0,13.121902425,77.61089774999999,0,0.5,0.0013765580442031112,0.0,30.034413951105076,Low,Normal patrol,Recorded obstruction history
PoliceCornerJunc,Central Zone 2,6.0,4,51.336324570833334,3,0,1,12.968918025,77.58638765,0,0.5,0.001059889278619284,0.0,30.026497231965482,Low,Normal patrol,Recorded obstruction history; Road closure history
MICO Bande,Central Zone 2,21.0,2,176.673574175,1,0,0,12.94862245,77.60267300000001,1,0.16666666666666666,0.0036476009657656653,1.0,25.09119002414414,Low,Normal patrol,Recorded obstruction history; Peak-hour impact; Long obstruction duration
toll gate mysore road,Central Zone 2,18.0,2,174.928283525,1,0,0,12.9573723,77.55148285,1,0.16666666666666666,0.0036115677112724047,1.0,25.09028919278181,Low,Normal patrol,Recorded obstruction history; Peak-hour impact; Long obstruction duration
GopalGowdaJUnc,Central Zone 2,21.0,2,173.13542669166668,1,0,0,12.979080549999999,77.5913278,1,0.16666666666666666,0.003574552405801375,1.0,25.08936381014503,Low,Normal patrol,Recorded obstruction history; Peak-hour impact; Long obstruction duration
BucheryJunction,Central Zone 1,21.0,2,171.56625660833333,1,0,0,12.954968000000001,77.6207328,1,0.16666666666666666,0.0035421553348860164,1.0,25.08855388337215,Low,Normal patrol,Recorded obstruction history; Peak-hour impact; Long obstruction duration
MaratahalliBridgeJunc,East Zone 1,21.0,2,170.40974722500002,2,1,0,12.9560323,77.70180719999999,1,0.16666666666666666,0.003518278052936736,1.0,25.08795695132342,Low,Normal patrol,Recorded obstruction history; Peak-hour impact; Long obstruction duration; Heavy-vehicle involvement
MekhriCircle,North Zone 2,18.0,2,170.40180278333332,2,0,0,13.01545935,77.58412304999999,1,0.16666666666666666,0.0035181140320681295,1.0,25.087952850801702,Low,Normal patrol,Recorded obstruction history; Peak-hour impact; Long obstruction duration
PoliceCornerJunc,Central Zone 2,18.0,2,164.09614603333335,2,0,0,12.969449449999999,77.58679459999999,1,0.16666666666666666,0.003387927501578267,1.0,25.084698187539455,Low,Normal patrol,Recorded obstruction history; Peak-hour impact; Long obstruction duration
GoruguntepalyaJunc,West Zone 1,20.0,2,162.74718359166667,2,0,0,13.03068565,77.54145195,1,0.16666666666666666,0.0033600768355803562,1.0,25.08400192088951,Low,Normal patrol,Recorded obstruction history; Peak-hour impact; Long obstruction duration
BEL Circle,North Zone 1,21.0,2,162.33266169166666,2,0,0,13.043763049999999,77.55786069999999,1,0.16666666666666666,0.003351518620296426,1.0,25.08378796550741,Low,Normal patrol,Recorded obstruction history; Peak-hour impact; Long obstruction duration
CMP GateJunc,Central Zone 1,20.0,2,159.697312575,1,0,1,12.957495999999999,77.60589155,1,0.16666666666666666,0.003297109226995981,1.0,25.0824277306749,Low,Normal patrol,Recorded obstruction history; Peak-hour impact; Long obstruction duration; Road closure history
AnandRaoJunction,Central Zone 2,19.0,2,159.01763785833333,1,0,0,12.98048975,77.5733181,1,0.16666666666666666,0.0032830766691304557,1.0,25.08207691672826,Low,Normal patrol,Recorded obstruction history; Peak-hour impact; Long obstruction duration
LRDE Junction,Central Zone 2,19.0,2,157.14850812499998,1,0,0,12.98722175,77.58779255,1,0.16666666666666666,0.003244486634076912,1.0,25.08111216585192,Low,Normal patrol,Recorded obstruction history; Peak-hour impact; Long obstruction duration
SantheCircle,North Zone 2,20.0,2,153.90694683333334,2,0,0,13.09663785,77.59826240000001,1,0.16666666666666666,0.0031775613898614987,1.0,25.079439034746535,Low,Normal patrol,Recorded obstruction history; Peak-hour impact; Long obstruction duration
Chokasandra (Tumkur road),North Zone 2,8.0,2,152.7653006666667,2,0,0,13.0423525,77.5152268,1,0.16666666666666666,0.003153990973744988,1.0,25.078849774343624,Low,Normal patrol,Recorded obstruction history; Peak-hour impact; Long obstruction duration
OldMadrasRd-Indranagar100ftRdJunc,Central Zone 1,19.0,2,151.79623548333336,2,1,0,12.983848,77.64047719999999,1,0.16666666666666666,0.0031339836630018703,1.0,25.078349591575044,Low,Normal patrol,Recorded obstruction history; Peak-hour impact; Long obstruction duration; Heavy-vehicle involvement
HudsonCircle,Central Zone 2,21.0,2,151.75520363333334,1,0,0,12.967887099999999,77.59145045,1,0.16666666666666666,0.003133136519809199,1.0,25.078328412995226,Low,Normal patrol,Recorded obstruction history; Peak-hour impact; Long obstruction duration
K R Circle,Central Zone 2,18.0,2,151.74070508333332,1,2,0,12.9761803,77.58724955,1,0.16666666666666666,0.0031328371828810296,1.0,25.078320929572023,Low,Normal patrol,Recorded obstruction history; Peak-hour impact; Long obstruction duration; Heavy-vehicle involvement
Rajajinagar19thMainJunc,West Zone 2,8.0,2,150.45615476666666,1,0,0,12.99778605,77.5514675,1,0.16666666666666666,0.0031063163690155287,1.0,25.077657909225387,Low,Normal patrol,Recorded obstruction history; Peak-hour impact; Long obstruction duration
KanakapuraRd-RingRdJunction,South Zone 2,19.0,2,148.93308911666668,1,0,0,12.906134949999998,77.5733741,1,0.16666666666666666,0.0030748711698010637,1.0,25.076871779245025,Low,Normal patrol,Recorded obstruction history; Peak-hour impact; Long obstruction duration
Srigandakaval,West Zone 1,20.0,2,147.97962085833333,2,0,0,12.98803105,77.5119043,1,0.16666666666666666,0.0030551858730261273,1.0,25.076379646825654,Low,Normal patrol,Recorded obstruction history; Peak-hour impact; Long obstruction duration
OldMadrasRd-80FeetRdJunc,Central Zone 1,8.0,2,147.11860912499998,1,0,0,12.9861097,77.64520865,1,0.16666666666666666,0.0030374094328046177,1.0,25.07593523582011,Low,Normal patrol,Recorded obstruction history; Peak-hour impact; Long obstruction duration
BasaweshwaraCircle,Central Zone 2,8.0,2,146.686782375,1,0,0,12.9844065,77.58820155000001,1,0.16666666666666666,0.003028493941748875,1.0,25.07571234854372,Low,Normal patrol,Recorded obstruction history; Peak-hour impact; Long obstruction duration
HesaraghattaJunction,North Zone 2,19.0,2,146.15790885,2,0,1,13.04588575,77.5075579,1,0.16666666666666666,0.003017574823880987,1.0,25.075439370597024,Low,Normal patrol,Recorded obstruction history; Peak-hour impact; Long obstruction duration; Road closure history
MinskSquare(CTO Junction),Central Zone 2,19.0,2,144.91196871666668,1,0,0,12.98206025,77.59719125000001,1,0.16666666666666666,0.0029918511555007275,1.0,25.07479627888752,Low,Normal patrol,Recorded obstruction history; Peak-hour impact; Long obstruction duration
MekhriCircle,West Zone 2,10.0,2,144.52779123333335,2,0,0,13.0126058,77.58385179999999,1,0.16666666666666666,0.0029839194307604783,1.0,25.07459798576901,Low,Normal patrol,Recorded obstruction history; Peak-hour impact; Long obstruction duration
KIMCO Junction,West Zone 2,19.0,2,142.67355970833333,2,0,0,12.953110299999999,77.53927834999999,1,0.16666666666666666,0.002945636983977329,1.0,25.073640924599434,Low,Normal patrol,Recorded obstruction history; Peak-hour impact; Long obstruction duration
JalahalliCross(SM Circle),North Zone 2,21.0,2,142.360956525,2,0,0,13.0405354,77.5183818,1,0.16666666666666666,0.002939182981567786,1.0,25.073479574539192,Low,Normal patrol,Recorded obstruction history; Peak-hour impact; Long obstruction duration
BanashankariBusStandJunc,West Zone 2,21.0,2,140.54580775,1,0,0,12.91642345,77.57126705,1,0.16666666666666666,0.002901707436876874,1.0,25.072542685921924,Low,Normal patrol,Recorded obstruction history; Peak-hour impact; Long obstruction duration
IndianExpressJunction,Central Zone 2,19.0,2,140.2964257666667,2,0,0,12.983974,77.59720204999999,1,0.16666666666666666,0.00289655869877329,1.0,25.07241396746933,Low,Normal patrol,Recorded obstruction history; Peak-hour impact; Long obstruction duration
BanashankariBusStandJunc,South Zone 1,21.0,2,137.32201506666667,2,0,0,12.9172057,77.57361475,1,0.16666666666666666,0.002835149043183501,1.0,25.070878726079588,Low,Normal patrol,Recorded obstruction history; Peak-hour impact; Long obstruction duration
CMP GateJunc,Central Zone 1,19.0,2,134.55396140833332,2,1,0,12.9579554,77.60586635,1,0.16666666666666666,0.002777999833152652,1.0,25.069449995828812,Low,Normal patrol,Recorded obstruction history; Peak-hour impact; Long obstruction duration; Heavy-vehicle involvement
AnandRaoJunction,Central Zone 2,21.0,2,134.34131945000001,2,0,0,12.98160935,77.574802,1,0.16666666666666666,0.00277360962926279,1.0,25.06934024073157,Low,Normal patrol,Recorded obstruction history; Peak-hour impact; Long obstruction duration
OldMadrasRd-NGEF Junc,Central Zone 1,21.0,2,134.09065776666665,1,0,0,12.9873414,77.649204,1,0.16666666666666666,0.0027684344704849324,1.0,25.06921086176212,Low,Normal patrol,Recorded obstruction history; Peak-hour impact; Long obstruction duration
SantheCircle,North Zone 2,19.0,2,134.05861054166667,1,0,0,13.0968817,77.5981721,1,0.16666666666666666,0.002767772823776273,1.0,25.069194320594406,Low,Normal patrol,Recorded obstruction history; Peak-hour impact; Long obstruction duration
BagalurCrossJunc,North Zone 2,19.0,2,133.37566195833332,1,0,1,13.120652,77.60955325,1,0.16666666666666666,0.0027536726736900607,1.0,25.068841816842248,Low,Normal patrol,Recorded obstruction history; Peak-hour impact; Long obstruction duration; Road closure history
MS RamaiahJunc(TollGate),West Zone 2,21.0,2,133.19303085,1,0,0,13.01689025,77.5613154,1,0.16666666666666666,0.0027499020735295885,1.0,25.06874755183824,Low,Normal patrol,Recorded obstruction history; Peak-hour impact; Long obstruction duration
Batrayanapura(Amrutahalli)Junction,North Zone 1,21.0,2,133.05771673333334,2,0,0,13.0689125,77.59290415000001,1,0.16666666666666666,0.002747108379538057,1.0,25.06867770948845,Low,Normal patrol,Recorded obstruction history; Peak-hour impact; Long obstruction duration
YelhankaCircle,North Zone 2,9.0,2,132.98589170833333,1,0,0,13.095872100000001,77.59386950000001,1,0.16666666666666666,0.002745625480741338,1.0,25.068640637018536,Low,Normal patrol,Recorded obstruction history; Peak-hour impact; Long obstruction duration
Dr RajkumarRd-10thCrossRdJunc,West Zone 1,21.0,2,132.75397765833333,1,0,0,13.00760935,77.55396925,1,0.16666666666666666,0.0027408373854265473,1.0,25.068520934635664,Low,Normal patrol,Recorded obstruction history; Peak-hour impact; Long obstruction duration
OldMadrasRd-NGEF Junc,Central Zone 1,19.0,2,131.11661443333332,2,1,1,12.986635,77.647599685,1,0.16666666666666666,0.00270703239954392,1.0,25.0676758099886,Low,Normal patrol,Recorded obstruction history; Peak-hour impact; Long obstruction duration; Heavy-vehicle involvement; Road closure history
UlsoorGateJunc,Central Zone 2,21.0,2,130.58001335833333,2,0,0,12.9669229,77.58764274999999,1,0.16666666666666666,0.002695953738750755,1.0,25.06739884346877,Low,Normal patrol,Recorded obstruction history; Peak-hour impact; Long obstruction duration
HennurRoad-ORR Junc,North Zone 1,21.0,2,129.46204045,2,0,0,13.0288127,77.63215500000001,1,0.16666666666666666,0.002672872080505152,1.0,25.06682180201263,Low,Normal patrol,Recorded obstruction history; Peak-hour impact; Long obstruction duration
NaganathapuraJunction,South Zone 2,19.0,2,125.48571364166668,2,0,0,12.870990599999999,77.65224789999999,1,0.16666666666666666,0.0025907768742808764,1.0,25.06476942185702,Low,Normal patrol,Recorded obstruction history; Peak-hour impact; Long obstruction duration
BilekahalliJunc,South Zone 2,20.0,2,122.78540000000001,2,0,0,12.90058595,77.60108205,1,0.16666666666666666,0.00253502622400277,1.0,25.06337565560007,Low,Normal patrol,Recorded obstruction history; Peak-hour impact; Long obstruction duration
TownhallJunction,Central Zone 2,20.0,2,121.83128822500001,2,1,0,12.96435395,77.5845172,1,0.16666666666666666,0.0025153276411887314,1.0,25.062883191029716,Low,Normal patrol,Recorded obstruction history; Peak-hour impact; Long obstruction duration; Heavy-vehicle involvement
RajeshwariJunc,West Zone 1,18.0,2,119.15312553333334,1,0,0,12.93819225,77.52139790000001,1,0.16666666666666666,0.002460034319217871,1.0,25.061500857980445,Low,Normal patrol,Recorded obstruction history; Peak-hour impact
FTI Junction(KanteeravaStudio),West Zone 1,21.0,2,115.83331358333334,1,0,0,13.0197133,77.531885,1,0.16666666666666666,0.0023914935126398275,1.0,25.059787337815997,Low,Normal patrol,Recorded obstruction history; Peak-hour impact
ShantalaJunction,Central Zone 2,21.0,2,112.97837355833335,2,0,0,12.9746417,77.57015485,1,0.16666666666666666,0.002332550447492586,1.0,25.05831376118731,Low,Normal patrol,Recorded obstruction history; Peak-hour impact
YelhankaBypass,North Zone 1,20.0,2,112.17461610000001,2,0,0,13.0795524,77.5928912,1,0.16666666666666666,0.0023159560784990992,1.0,25.057898901962478,Low,Normal patrol,Recorded obstruction history; Peak-hour impact
DevegowdaPetrolBunkJunc,South Zone 1,21.0,2,111.47797898333333,2,0,0,12.92073005,77.56126234999999,1,0.16666666666666666,0.0023015733150812687,1.0,25.05753933287703,Low,Normal patrol,Recorded obstruction history; Peak-hour impact
Nagarbhavi,West Zone 1,21.0,2,110.10209533333332,2,0,0,12.95944365,77.51587715,1,0.16666666666666666,0.002273166834067022,1.0,25.056829170851675,Low,Normal patrol,Recorded obstruction history; Peak-hour impact
SilkBoardJunc,South Zone 2,9.0,2,105.29568808333335,2,1,0,12.91753095,77.62245494999999,1,0.16666666666666666,0.0021739337947806986,1.0,25.054348344869513,Low,Normal patrol,Recorded obstruction history; Peak-hour impact; Heavy-vehicle involvement
MysoreRd-RingRdJunc(Nayandanahallii),West Zone 1,20.0,2,104.62047315833334,2,0,0,12.94234075,77.52556955,1,0.16666666666666666,0.0021599933137323567,1.0,25.05399983284331,Low,Normal patrol,Recorded obstruction history; Peak-hour impact
YelhankaCircle,North Zone 2,20.0,2,104.14469209166667,2,0,0,13.09330855,77.59705975,1,0.16666666666666666,0.0021501703422643808,1.0,25.05375425855661,Low,Normal patrol,Recorded obstruction history; Peak-hour impact
KatriguppeJunction,West Zone 2,21.0,2,101.03527035833332,1,0,0,12.92636795,77.54857634999999,1,0.16666666666666666,0.0020859732501387353,1.0,25.05214933125347,Low,Normal patrol,Recorded obstruction history; Peak-hour impact
HopefarmJunction,East Zone 1,20.0,2,99.87850545833334,1,0,0,12.98418315,77.7508302,1,0.16666666666666666,0.002062090692794736,1.0,25.051552267319867,Low,Normal patrol,Recorded obstruction history; Peak-hour impact
MekhriCircle,West Zone 2,21.0,2,98.81349699166665,2,0,0,13.0162546,77.5844652,1,0.16666666666666666,0.0020401025379181382,1.0,25.051002563447955,Low,Normal patrol,Recorded obstruction history; Peak-hour impact
Shivajinagar(BRV)Junction,Central Zone 2,9.0,2,95.15716146666666,1,0,0,12.9789817,77.60322445,1,0.16666666666666666,0.0019646138687471463,1.0,25.049115346718676,Low,Normal patrol,Recorded obstruction history; Peak-hour impact
SadashivnagarJunc,West Zone 2,9.0,2,94.66509051666667,2,0,1,13.014568050000001,77.57310135,1,0.16666666666666666,0.001954454576499697,1.0,25.04886136441249,Low,Normal patrol,Recorded obstruction history; Peak-hour impact; Road closure history
MS RamaiahJunc(TollGate),West Zone 2,19.0,2,91.56770146666666,1,0,0,13.016902900000002,77.56114009999999,1,0.16666666666666666,0.001890505911042004,1.0,25.047262647776048,Low,Normal patrol,Recorded obstruction history; Peak-hour impact
Deverabeesanahalli-ORR Junc,East Zone 1,21.0,2,90.83609949166666,2,0,0,12.9306047,77.68459645,1,0.16666666666666666,0.0018754012634849065,1.0,25.046885031587117,Low,Normal patrol,Recorded obstruction history; Peak-hour impact
KIMCO Junction,West Zone 2,21.0,2,88.437996475,2,0,1,12.9508784,77.53726545,1,0.16666666666666666,0.0018258900509538554,1.0,25.045647251273845,Low,Normal patrol,Recorded obstruction history; Peak-hour impact; Road closure history
BangaloreBodyBuildersJunc,Central Zone 2,20.0,2,87.75317339166666,2,0,0,12.959740700000001,77.55614514999999,1,0.16666666666666666,0.0018117511999581144,1.0,25.04529377999895,Low,Normal patrol,Recorded obstruction history; Peak-hour impact
MekhriCircle,West Zone 2,20.0,2,85.68823388333334,2,0,0,13.0142572,77.58377715,1,0.16666666666666666,0.0017691184781149282,1.0,25.04422796195287,Low,Normal patrol,Recorded obstruction history; Peak-hour impact
BEL Circle,North Zone 2,19.0,2,85.26702255833334,2,0,0,13.045095,77.5549494,1,0.16666666666666666,0.0017604221530247957,1.0,25.04401055382562,Low,Normal patrol,Recorded obstruction history; Peak-hour impact
SRS Peenya Junc,West Zone 1,21.0,2,79.871623925,2,0,0,13.03494165,77.52867245,1,0.16666666666666666,0.00164902880312775,1.0,25.04122572007819,Low,Normal patrol,Recorded obstruction history; Peak-hour impact
TownhallJunction,Central Zone 2,21.0,2,75.6625246,2,1,0,12.9638701,77.58344455,1,0.16666666666666666,0.0015621277776938843,1.0,25.039053194442346,Low,Normal patrol,Recorded obstruction history; Peak-hour impact; Heavy-vehicle involvement
MysoreRd-RingRdJunc(Nayandanahallii),West Zone 2,20.0,2,75.44653151666667,2,0,0,12.945908750000001,77.52889575,1,0.16666666666666666,0.0015576683865085057,1.0,25.03894170966271,Low,Normal patrol,Recorded obstruction history; Peak-hour impact
SilkBoardJunc,South Zone 2,20.0,2,75.21524855,2,1,0,12.92031596,77.62064011999999,1,0.16666666666666666,0.001552893320534333,1.0,25.038822333013357,Low,Normal patrol,Recorded obstruction history; Peak-hour impact; Heavy-vehicle involvement
